,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
537,7,0,45,16,12,3321,826,91376,17071787
538,2,1,55,19,15,8690,1251,91376,17071357
539,1,5,50,18,17,14313,1174,91376,17061531
540,1,4,48,19,17,14860,999,91376,17045279
541,5,1,58,18,15,3179,1047,91376,17043391
542,3,1,57,17,14,6926,999,91376,17042968
543,2,1,45,20,17,15198,1296,91376,17042513
544,3,1,59,19,15,7274,1151,91376,17027303
545,4,0,43,16,12,4440,784,91376,17026739
546,6,1,41,15,12,4365,801,91376,17026185
547,2,1,53,19,15,7277,1270,91376,17025354
548,3,1,43,17,14,6735,1054,91376,17024713
549,9,0,28,13,10,1434,558,91376,17024349
550,1,3,37,17,14,7821,974,91376,17023797
551,7,3,24,15,12,7315,819,91376,17023391
