,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
296,10,2,13,1,11,10,-8,16935762,824539,8539,394,1,3587,12,,,
297,14,1,18,1,11,10,-19,16935510,824539,4646,415,1,3491,12,,,
298,11,0,8,1,11,9,-17,16935260,824539,6888,391,1,4707,12,,,
299,4,4,42,1,17,16,8,16934767,824539,18540,1083,2,9022,12,,,
300,12,0,11,2,10,7,-18,16934549,824539,3918,358,1,3264,12,,,
301,16,0,2,1,8,6,-23,16934402,824539,2831,209,0,3561,12,,,
302,1,9,24,2,18,18,37,16933915,824539,26885,1030,4,5871,12,,,
303,7,5,42,3,17,17,12,16933512,824539,14050,988,2,8681,12,,,
304,1,7,21,2,16,17,33,16933143,824539,25069,967,3,5695,12,,,
305,12,1,8,1,10,10,-15,16932976,824539,10532,332,0,4824,12,,,
306,12,2,13,1,11,10,-14,16932826,824539,8645,420,1,4389,12,,,
307,2,2,30,5,19,17,2,16932448,824539,21791,1273,2,11765,12,,,
308,5,6,27,2,16,16,19,16931575,824539,19269,789,2,7309,12,,,
309,5,1,31,1,17,14,-4,16931320,824539,13543,908,2,7772,12,,,
310,1,7,40,2,18,18,32,16930996,824539,25380,1219,3,7273,12,,,
311,11,1,31,2,14,12,-11,16930824,824539,6519,541,3,2333,12,,,
312,11,1,20,1,13,12,-14,16930664,824539,12801,552,2,8291,12,,,
313,1,6,35,1,17,17,30,16930390,824539,18231,1021,3,4123,12,,,
314,10,1,7,1,10,9,-13,16930269,824539,7317,376,0,3619,12,,,
315,15,2,10,1,10,8,-15,16924100,824539,4166,269,0,2641,12,,,
316,13,2,9,1,12,10,-10,16923980,824539,8017,440,0,6099,12,,,
317,7,1,26,1,15,14,-7,16923728,824539,10905,786,1,8139,12,,,
318,11,2,15,1,12,10,-13,16883759,824539,7368,430,2,4100,12,,,
319,13,3,5,1,10,8,-6,16883498,824539,5137,340,1,3893,12,,,
320,16,0,13,1,10,7,-26,16883281,824539,1400,278,1,1902,12,,,
321,16,0,7,1,9,7,-24,16883045,824539,3504,249,0,3633,12,,,
322,6,3,10,1,14,12,2,16882665,824539,13102,650,1,8756,12,,,
323,1,8,41,2,18,18,31,16882021,824539,22498,1120,1,4846,12,,,
324,6,3,28,2,14,13,-2,16881635,824539,12861,644,2,6011,12,,,
325,11,1,20,1,16,14,-12,16864332,824539,16249,860,2,6406,12,,,
326,16,2,14,1,10,8,-17,16864131,824539,3633,297,0,1994,12,,,
327,7,3,13,1,12,12,-3,16863829,824539,11708,488,1,3768,12,,,
328,10,1,20,1,11,9,-13,16863459,824539,4470,480,1,2096,12,,,
329,4,3,35,4,17,16,4,16862964,824539,18216,979,2,6578,12,,,
330,3,2,36,1,18,16,0,16862312,824539,15739,1142,4,8444,12,,,
331,1,6,57,1,18,19,27,16861646,824539,17713,1021,3,3290,12,,,
332,1,4,45,1,19,19,19,16861049,824539,22323,1166,4,5661,12,,,
333,6,4,70,1,18,18,1,16860495,824539,16162,1038,3,3463,12,,,
334,3,2,36,1,18,16,0,16859908,824539,20820,1178,3,8394,12,,,
335,14,2,5,1,9,7,-9,16859709,824539,2925,276,1,2396,12,,,
336,1,4,40,1,18,18,26,16858772,824539,23216,1266,1,7568,12,,,
337,8,0,44,1,16,14,-12,16858382,824539,7210,964,1,2950,12,,,
338,1,4,57,2,18,18,20,16857938,824539,15241,1245,1,5994,12,,,
339,1,7,42,2,17,18,27,16857494,824539,18522,1261,3,4982,12,,,
340,1,6,55,2,18,18,31,16857133,824539,18311,1181,2,3772,12,,,
341,6,3,23,1,16,14,0,16856909,824539,15385,796,1,8291,12,,,
342,1,7,56,1,17,18,29,16821281,824539,19129,1040,4,2262,12,,,
